objectid,title,filename,format,Scientific Name,Common Name,Kingdom,Family,Keystone Species Justification,Conservation Status,Conservation Action Taken,Implementing Organization,Implementation Date Range,Primary Threats to Species,youtubeid,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
success001,Bald Eagle Staring at Camera,angry_eagle.jpg,image/jpg,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,Photograph of an adult bald eagle perched on a tree branch along the Mississippi River bordering Iowa and Illinois. Eagle appears to stare straight at the camera.,Vashti Torres,,2026-01-17,,single-page; photograph,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Burlington, Iowa; Gladstone, Illinois",40.88121175866667,-91.02289661220146,,Vashti Torres,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2026,Image; StillImage,eng,
success002,Bald Eagle Perched on a Branch,bald_eagle_on_branch.jpg,image/jpg,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,Photograph of an adult bald eagle perched on a barren and broken tree branch. The sunrise illuminates half of the eagle as it stares off into the distance.,Vashti Torres,,2026-01-17,,single-page; photograph,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Burlington, Iowa; Gladstone, Illinois",40.88121175866667,-91.02289661220146,,Vashti Torres,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2026,Image; StillImage,eng,
success003,Bald Eagle Feasting on a Fish,bald_eagle.jpg,image/jpg,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,Photograph of an adult bald eagle on a tree branch while crouched over a fish in it talons,Vashti Torres,,2026-01-18,,single-page; photograph,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Burlington, Iowa; Gladstone, Illinois",40.88121175866667,-91.02289661220146,,Vashti Torres,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2026,Image; StillImage,eng,
success004,Bald Eagle in Profile,eagle_profile.jpg,image/jpg,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,Photograph of an adult bald eagle in profile as it grasps a tree branch in its curved talons,Vashti Torres,,2026-01-17,,single-page; photograph,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Burlington, Iowa; Gladstone, Illinois",40.88121175866667,-91.02289661220146,,Vashti Torres,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2026,Image; StillImage,eng,
success005,Juvenile Eagle,juvenile_eagle.jpg,image/jpg,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,Photograph of juvenile bald eagle in profile while resting on a branch. The dark coloring and lack of the signature white head indicating its juvenile status,Vashti Torres,,2026-01-18,,single-page; photograph,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Burlington, Iowa; Gladstone, Illinois",40.88121175866667,-91.02289661220146,,Vashti Torres,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2026,Image; StillImage,eng,
success006,Inside the efforts that helped bald eagle populations soar,,video/mp4,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2007,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,_DvuS73rCjo,Video describing how the population of bald eagles in the United States has soared to more than 300000 in recent decades after a remarkable effort of conservation. Reporting for TODAY is NBC’s George Solis meets Clark and his longtime handler Daniel Cone to learn about the trust they have developed for each other.,The Today Show,,2024-06-20,,YouTube video,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,"Valley Park, Missouri",38.535882733182454,-90.53370981392331,,The Today Show,,https://www.youtube.com/watch?v=_DvuS73rCjo,,,Educational use,https://www.youtube.com/howyoutubeworks/copyright/,Audio; Video,eng,
success007,Keystone management species under the Endangered Species Act can promote ecosystembased management,Hayes-2026-Keystone-management-species-under-t.pdf,application/pdf,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2008,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,"This document explores the concept of Keystone Management Species (KMS), which are endangered or charismatic species under the U.S. Endangered Species Act (ESA) that drive ecosystem-based management by influencing human activities and resource allocation. Through case studies of species like bald eagles, Pacific salmon, North Atlantic right whales, and grizzly bears, the authors highlight how these species prompt significant conservation investments and regulatory actions, benefiting broader ecosystems and fostering coexistence between human needs and environmental preservation.",Sean A. Hayes; Joe Roman,,2025-06-11,,multiple-page; document,Keystone Management Species; Keystone Species; American Bald Eagle; Grizzly Bears; Pacific Salmon; North Atlantic Right Whales; Endangered Species Act,United States; Canada,,,Frontiers in Conservation Science,,Frontiers,https://doi.org/10.3389/fcosc.2025.1645471,,,Educational Use,http://creativecommons.org/licenses/by/4.0/,Text; Document; pdf,eng,
success008,"SCI 171L: Science, Environment, and Society & BIO 211L: Evolution & Ecology: Species: Birds","Species Birds - SCI 171L Science, Environment, and Society & BIO 211L Evolution & Ecology - LibGuides at Marian University.pdf",application/pdf,Haliaeetus leucocephalus,Bald Eagle,Animalia,Accipitriformes,Bald Eagles help regulate populations of fish and smaller animals. They contribute to the balance of aquatic ecosystems. They are also important scavengers and help clean up the environment by consuming carrion. The Bald Eagle is a scavenger that cleans up dead animals from its environment and helps the overall health of its ecosystem by preventing the spread of disease. Bald Eagles are considered a keystone species in some regions. This means they have a disproportionate impact on their environment compared to their population size.,Low and Removed From Endangered Species List,The banning of the pesticide DDT was critical in the recovery of the Bald Eagle. Bald Eagles are also protected under the Bald and Golden Eagle Protection Act. These Acts prohibit the taking or possession of these raptors and their feathers or eggs or their nests. Its populations have recovered so significantly that the Bald Eagle was delisted in 2007. Its populations continue to increase. Post-delisting monitoring plans are in place to track this positive trend.,U.S. Fish & Wildlife Service,1980-2009,Land Conversion; Resource Consumption; Pesticides; DDT; Habitat Loss; Pollution; Climate Change,,This guide is for the creation of an ongoing student project chronicaling native and non-native species found in northwest Indiana.,Santiago Morales,,2026-03-19,,multiple-page; LibGuide,American Bald Eagle; Haliaeetus leucocephalus; Bird of Prey; Wildlife Photography,United States; Canada,,,Marian University Plymouth Libraries LibGuides,Santiago Morales,Marian University,https://libguides.marian.edu/SCI171L_Intro_Environmental_Science,,,Educational Use,https://libguides.marian.edu/c.php?g=324383&p=2174414 and https://libguides.marian.edu/c.php?g=324383&p=11381574,html; website; LibGuide,eng,
success009,Longleaf Pine Needles,longleaf_pine_needles.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging; eforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Photograph of longleaf pine needs on the ground,Vashti Torres,,2025-01-20,,single-page; photograph,Longleaf pine needles; longleaf pine; longleaf pine tree,"Spartanburg, South Carolina",34.9806136046,-81.9521125432,,,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2025,Image; StillImage,eng,
success010,Longleaf Pine Cone,longleaf_pinecone.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Photograph of longleaf pinecone atop a bed of fallen leaves,Vashti Torres,,2025-01-20,,single-page; photograph,Longleaf pine needles; longleaf pine; longleaf pine tree,"Spartanburg, South Carolina",34.9806136046,-81.9521125432,,,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2025,Image; StillImage,eng,
